convective_day,max_risk,primary_class,ofb_mcs_boundary_regime,dominant_hazards,storm_modes,boundary_drivers,forecast_challenges,ofb_mcs_boundary_reason,day_narrative
2020-08-27,ENH,multi_region_multi_mode,likely,damaging wind|large to very large hail|tornadoes,Northeast supercells/bows|High Plains supercells|bowing MCS|tropical rainband cells,Northeast warm front|northern Plains stalled front|outflow-reinforced front|Laura rainbands,mode_transition|mcs_timing|boundary_interaction|storm_coverage_uncertain,"Synoptic fronts anchored the outlook, but outflow-reinforced fronts and an overnight severe MCS strongly modulated the event evolution.","This day had three distinct severe regimes: Northeast warm-front storms, northern Plains supercells evolving into a severe MCS, and Laura-related tornadoes. The late-day northern Plains MCS became a significant wind producer, while the Northeast corridor had hail/wind/tornado threats near the warm front."
2020-08-28,ENH,multi_region_multi_mode,likely,damaging wind|large hail|tornadoes,supercells|line segments|squall lines|tropical mini-supercells,associated outflow boundary|cold front|Laura remnant circulation|warm front,prior_convection|ofb_placement|instability_recovery|mode_transition|mcv_track,"An ongoing overnight MCS/outflow boundary was explicitly paired with the cold front for renewed Great Lakes severe development, while Laura remnants supplied a separate tornado regime.","Upper Mississippi Valley and southern Great Lakes severe storms developed near a cold front and associated outflow boundary, while Laura's remnants produced a Mid-South/Tennessee Valley tornado threat. Additional Mid-Atlantic and central Plains storms made the day broad and multi-mode."
2020-09-05,ENH,elevated_nocturnal_hail_mcs,core,very large hail|damaging wind,elevated supercells|clusters|bowing segment|cold-pool-dominant MCS,warm front|low-level jet nose|storm outflow/effective cold front|elevated mixed layer,nocturnal_evolution|cold_pool|mcs_timing|ofb_placement,The event evolved into an elevated MCS whose outflow modified the warm front and became an effective cold front for continued severe storms.,"Southern Minnesota and Iowa had a nocturnal elevated severe setup on the nose of a strengthening low-level jet. Very large hail was favored with initial elevated supercells, then damaging wind increased as outflow and cold-pool-dominant clusters surged southeast."
2021-03-27,ENH,mixed_discrete_to_qlcs_outbreak,likely,damaging wind|very large hail|tornadoes,supercells|clusters|squall line|bowing segments,cold front|warm front|outflow from morning convection|low-level jet,prior_convection|ofb_placement|mode_transition|nocturnal_evolution,Ongoing clusters and outflow/prior convection affected storm evolution while synoptic fronts still supplied the main forcing.,"Severe storms spread from the Ark-La-Tex across the Mid South and Tennessee Valley with all hazards. Early clusters evolved into a broader supercell and QLCS regime, with damaging wind and strong tornado potential persisting overnight."
2021-04-09,MDT,derecho_or_serial_mcs_wind,core,widespread damaging wind|tornadoes|large hail,MCS|bowing line segments|embedded supercells|QLCS,dryline and cold front|warm sector recovery|outflow from prior convection|low-level jet,prior_convection|mcs_timing|mode_transition|nocturnal_evolution,The moderate risk was tied to an organized severe-wind swath and MCS/QLCS evolution across the lower Mississippi Valley.,"This was a lower Mississippi Valley severe-wind/MCS day with all hazards extending from eastern Oklahoma and east Texas into the Mid-South and Alabama. Tornadoes were possible within the QLCS and any embedded or preceding supercells, but the moderate risk was driven by a swath of damaging wind."
2021-04-10,ENH,qlcs_bowing_wind_tornado,likely,damaging wind|tornadoes|hail,MCS|bowing segments|embedded circulations,remnant Gulf Coast MCS|convective cold pool|effective frontal zone,mcs_timing|instability_recovery|coastal instability|storm coverage uncertain,"The day was dominated by a convective system and its continuation along the Gulf Coast, with outflow/cold-pool details modulating the risk.","The enhanced risk followed a Gulf Coast MCS/QLCS from southeast Louisiana toward the Florida Panhandle, Alabama, and western Georgia. Damaging wind was the main hazard, with brief tornadoes possible in stronger embedded circulations."
2021-04-11,ENH,southeast_multicell_or_clusters,likely,damaging wind|isolated tornadoes|isolated hail,multicell clusters|line segments|transient supercells,southward-moving boundary|sea-breeze interactions|remnant outflow,ofb_placement|diurnal destabilization|storm coverage uncertain|southward propagation,Outflow and remnant convective boundaries were important to the central Florida wind-focused enhanced risk.,"Central Florida carried the main enhanced risk as storms intensified in a moist, unstable air mass along mesoscale boundaries. The main concern was damaging wind, with a tornado or two and isolated hail possible in stronger clusters or transient supercells."
2021-04-24,ENH,southeast_multicell_or_clusters,likely,large hail|damaging wind|tornadoes,clusters|embedded supercells|line segments,remnant MCS/outflow|Gulf Coast warm sector|warm front|cold front,prior_convection|outflow placement|instability recovery|storm coverage uncertain,The day followed prior convection and included MCS/outflow control over where Gulf Coast storms persisted and reintensified.,"Severe storms persisted across the Gulf Coast states, with a secondary corridor from northern Alabama into Tennessee and Georgia. The risk was scattered and mesoscale, with clusters and embedded supercells producing hail, damaging wind, and a few tornadoes."
2021-04-28,ENH,multi_region_multi_mode,likely,damaging wind|large hail|tornadoes,supercells|storm clusters|line segments|elevated convection,dryline|cold front|warm front|remnant outflow|low-level jet,prior_convection|boundary_interaction|mode_transition|nocturnal_evolution,"Prior clusters and outflow boundaries were part of the severe-weather evolution, though synoptic dryline/frontal forcing also mattered.","The day had a broad, multi-region severe risk from Texas toward the Ohio Valley, with the greatest coverage from central/southern Texas into southeast Oklahoma. Storm mode varied by region, including dryline supercells, clusters, and nocturnal line segments."
2021-05-03,ENH,forward_propagating_mcs_wind,likely,damaging wind|very large hail|isolated tornadoes,supercells|MCS|bowing line segments|elevated storms,dryline/front|warm front|outflow boundaries|low-level jet,prior_convection|mcs_timing|mode_transition|nocturnal_evolution,MCS/outflow evolution and prior convection strongly affected the corridor of intense wind from Oklahoma toward Kentucky.,"Severe storms spread from north-central Texas through Arkansas into the lower Ohio Valley. Very large hail was favored early in Texas and Oklahoma, while an increasing nocturnal MCS wind threat became the main corridor farther east."
2021-05-04,MDT,derecho_or_serial_mcs_wind,core,widespread damaging wind|embedded tornadoes|hail,multiple quasi-linear MCSs|bowing QLCS|embedded circulations,effective cold front modulated by convection|outflow boundary|cold front|MCS cold pool,prior_convection|ofb_placement|mcs_timing|mode_transition,"The moderate risk explicitly depended on convectively modulated boundaries, multiple MCSs, and a bowing QLCS wind corridor.","A Deep South damaging-wind outbreak evolved from clusters into multiple quasi-linear MCSs, with a moderate risk added as the bowing line matured. Embedded QLCS tornadoes were possible, but widespread severe wind was the primary hazard."
2021-05-08,ENH,elevated_nocturnal_hail_mcs,likely,large hail|damaging wind|tornadoes,elevated storms|supercells|overnight MCS,warm front|dryline/front|nocturnal low-level jet|outflow boundary,nocturnal_evolution|mcs_timing|boundary_interaction|storm_coverage_uncertain,The late-evening Kansas to Missouri risk was tied to nocturnal MCS development and boundary interactions.,"Severe storms organized at night from northern Kansas and southeast Nebraska into central Missouri. Hail and damaging wind were the main hazards, with tornado potential near the warm front and more organized storms."
2021-05-09,ENH,mixed_discrete_to_qlcs_outbreak,likely,large hail|damaging wind|tornadoes,supercells|multicell clusters|line segments,cold front|outflow boundary|moist warm sector,ofb_placement|instability_recovery|mode_transition|storm coverage uncertain,"Outflow and prior convection modulated the corridor, while the cold front provided the main initiation focus.","Scattered severe thunderstorms developed from central/east Texas into the lower Mississippi Valley and Mid-South. Very large hail, damaging winds, and a couple tornadoes were possible early, with damaging wind becoming more prominent as storms clustered."
2021-05-17,MDT,ofb_differential_heating_supercells,core,very large hail|tornadoes|damaging wind,intense supercells|semi-discrete clusters|upscale-growing cluster,remnant outflow boundary|dryline|differential heating boundary|lee low,ofb_placement|cap_conditional|mode_transition|nocturnal_evolution,A remnant MCS outflow boundary was explicitly forecast to focus the most intense hail-producing supercells over west/northwest Texas.,"The moderate risk focused on west and northwest Texas where a remnant outflow boundary and dryline were expected to focus intense supercells. Very large hail was the primary hazard, with tornado and damaging-wind potential increasing where storms interacted with the boundary and later grew upscale."
2021-05-27,ENH,mixed_discrete_to_qlcs_outbreak,likely,significant damaging wind|hail|tornadoes,supercells|clusters|MCS|line segments,dryline/cold front|outflow boundary|surface trough|low-level jet,mode_transition|mcs_timing|outflow placement|nocturnal evolution,"The enhanced risk involved supercells evolving into clusters/MCSs, with outflow and prior convection shaping the wind corridor.","Severe storms continued from the southern Plains into the lower Mississippi Valley. Initial supercells carried hail and tornado potential, but significant damaging wind became a major threat as storms organized into clusters and lines."
2021-05-28,ENH,high_plains_upslope_supercells,likely,very large hail|damaging wind|tornadoes,terrain-initiated supercells|clusters|MCS,eastern New Mexico/west Texas terrain circulation|outflow boundary|warm front|low-level jet,mcs_timing|ofb_placement|storm coverage uncertain|nocturnal_evolution,Outflow and clustered storm evolution were important to the Texas hail/wind corridor and nocturnal propagation.,The enhanced risk extended from eastern New Mexico and west Texas into south-central and southeast Texas. Supercells initially favored very large hail before clusters and MCS segments increased the damaging-wind threat overnight.
2021-06-10,MDT,mixed_discrete_to_qlcs_outbreak,likely,significant damaging wind|very large hail|tornadoes,initial supercells|organized convective complexes|squall lines|embedded supercells,surface low|dryline|cold front|warm front|outflow boundaries,cap_conditional|mode_transition|mcs_timing|nocturnal evolution,"The primary Plains risk was synoptic, but later destructive-wind potential depended on upscale growth, outflow consolidation, and convective complexes.","The northern and central Plains had a moderate risk for all hazards, with early supercells over eastern Montana and the Dakotas transitioning into organized convective complexes. Significant wind became increasingly important overnight, while tornado and giant-hail threats were tied to the early discrete phase."
2021-06-11,ENH,forward_propagating_mcs_wind,core,damaging wind|large hail,MCS|bowing line segments|clusters|elevated storms,cold front|warm front|outflow from prior convection|low-level jet,mcs_timing|cold_pool|nocturnal_evolution|instability recovery,"The enhanced risk was a nocturnal MCS wind corridor, with outflow and cold-pool organization central to the hazard.","A significant nocturnal wind event was expected across eastern Kansas, western Missouri, and north-central/northeast Oklahoma. Large hail accompanied the strongest storms, but damaging wind with the MCS was the primary hazard."
2021-06-17,ENH,mixed_discrete_to_qlcs_outbreak,likely,significant damaging wind|tornadoes|large hail,supercells|clusters|bowing MCS,cold front|warm-sector boundary|outflow boundary|low-level jet,ofb_placement|mode_transition|mcs_timing|nocturnal_evolution,The Upper Mississippi Valley threat involved storms interacting with outflow/prior convection and evolving toward an organized wind-producing MCS.,"Severe storms were expected from southern Minnesota and Wisconsin into northern Iowa and Illinois. The environment supported tornadoes and baseball-size hail early, with damaging wind gusts over 75 mph possible as storms organized."
2021-06-18,ENH,mcv_mcs_outflow_reintensification,likely,large hail|damaging wind|isolated tornadoes,clusters|MCS|embedded supercells,remnant outflow|MCS-related boundaries|warm-sector instability gradient,prior_convection|instability_recovery|ofb_placement|mode_transition,The event was strongly modulated by prior MCS/outflow and recovery across the Ohio and mid Mississippi Valley warm sector.,"Scattered severe storms persisted across the Ohio Valley and mid Mississippi Valley during the evening and part of the overnight. Hail and damaging wind were primary, with isolated tornado risk where boundary-layer recovery and shear overlapped."
2021-06-19,ENH,multi_region_multi_mode,likely,damaging wind|isolated tornadoes|hail,Plains MCS|bowing segments|tropical rainband cells|clusters,central Plains frontal zone|MCS cold pool|remnants of Claudette|warm front,mcs_timing|multi-region evolution|tropical moisture|nocturnal evolution,"The main central Plains damaging-wind threat was MCS/cold-pool driven, while Claudette produced a separate tornado regime.",The day combined a central Plains damaging-wind MCS with a separate tornado risk tied to the remnants of Claudette. This multi-regime setup produced common damaging winds in the Plains and lower-probability tornadoes in the Southeast.
2021-06-20,ENH,mcv_mcs_outflow_reintensification,core,damaging wind|large hail|tornadoes,MCV-aided storms|MCS|supercells|QLCS|tropical rainband cells,MCV from prior MCS|outflow boundary|warm front|cold front|Claudette circulation,mcv_track|prior_convection|ofb_placement|instability_recovery|model_guidance_mismatch,"The Midwest enhanced risk was explicitly tied to MCV/MCS remnants, outflow boundaries, and recovery near those boundaries.","A messy but potentially significant MCV/MCS regime affected the Midwest and lower Great Lakes, while Claudette added a separate Southeast tornado component. Forecast confidence was limited by prior convection, outflow placement, and whether storms would bow or remain more supercellular."
2021-06-24,ENH,forward_propagating_mcs_wind,core,severe wind|large hail|isolated tornadoes,supercells|bowing MCS|line segments,Kansas-Missouri frontal zone|warm front|outflow boundary|low-level jet,mcs_timing|ofb_placement|mode_transition|nocturnal_evolution,The enhanced risk centered on an evening and overnight severe-wind corridor where MCS organization and outflow propagation were central.,"A corridor of severe thunderstorm winds was expected from Kansas into northern and central Missouri. A few tornadoes and large hail were possible, especially near northeast Kansas, northern Missouri, and southern Iowa before the wind-focused MCS matured."
2021-07-09,ENH,northwest_flow_mcs,likely,damaging wind|large hail|isolated tornadoes,MCS|clusters|embedded supercells,central/northern Plains frontal zone|outflow boundary|nocturnal low-level jet,mcs_timing|outflow placement|nocturnal evolution|storm coverage uncertain,Outflow and MCS propagation were important to the wind/hail corridor from the Plains into the upper Mississippi Valley.,Storms with wind damage and large hail moved from the central and northern Plains into the mid and upper Mississippi Valley. A lower-end tornado threat existed near the lower to mid Missouri Valley as the nocturnal system organized.
2021-07-10,ENH,forward_propagating_mcs_wind,core,damaging wind|hail,forward-propagating MCS|bowing line|multicell clusters,central Oklahoma to Ozarks MCS cold pool|outflow boundary|southern Arizona terrain outflows,mcs_timing|cold_pool|southern flank propagation|multi-region evolution,The Oklahoma-to-Ozarks enhanced risk was dominated by a forward-propagating MCS and its cold pool/outflow.,"Severe wind was expected from central Oklahoma to the Ozarks as an organized convective system moved southeast. Additional severe storms in southern Arizona made the day multi-region, but the primary enhanced signal was the Plains/Ozarks wind MCS."
2021-07-14,ENH,mixed_discrete_to_qlcs_outbreak,likely,tornadoes|damaging wind|hail,supercells|clusters|MCS|line segments,warm front|cold front|outflow boundaries|low-level jet,prior_convection|warm front placement|mode_transition|mcs_timing,Outflow and prior convection influenced the Upper Midwest threat while warm-front/frontal forcing also remained important.,"The enhanced risk focused on the Upper Midwest where a few tornadoes, damaging winds, and hail were likely. Storms included supercell structures near boundaries and later clusters or lines as convection sagged east-southeast."
2021-07-26,ENH,elevated_nocturnal_hail_mcs,likely,large hail|damaging wind|isolated tornadoes,elevated supercells|bowing structures|clusters,warm front|outflow boundary|nocturnal low-level jet|instability gradient,nocturnal_evolution|mcs_timing|storm coverage uncertain|boundary placement,The overnight northern-tier risk involved supercells and bowing structures developing along a boundary-influenced instability corridor.,"The main enhanced risk was overnight from eastern North Dakota into northern Wisconsin. Supercells and bowing structures were expected, producing large hail and damaging winds with a lower tornado threat."
2021-07-28,MDT,derecho_or_serial_mcs_wind,core,widespread damaging wind|large hail|isolated tornadoes,MCS|bow echo|embedded supercells|line segments,warm front|cold front|MCS cold pool|outflow boundaries,mcs_timing|cold_pool|prior_convection|line intensity,The moderate risk was for a widespread significant-wind corridor produced by MCS organization and propagation along convectively influenced boundaries.,"A moderate-risk severe-wind corridor extended from northeastern Minnesota across Wisconsin into southwest Lower Michigan. The setup favored an organized MCS with occasional significant wind damage, while hail and isolated tornadoes were secondary."
2021-07-29,ENH,qlcs_bowing_wind_tornado,likely,damaging wind|tornadoes,line segments|clusters|embedded supercells,cold front|outflow boundary|differential heating corridor,instability_recovery|outflow placement|storm coverage uncertain|line intensity,Outflow and prior convection shaped where the Ohio Valley to Mid-Atlantic wind/tornado threat maximized.,Damaging thunderstorm winds and a tornado or two were possible from the Ohio Valley and central Appalachians into the Mid-Atlantic. Mesoscale boundaries helped focus stronger line segments and the late New Jersey tornado threat.
2021-08-10,ENH,forward_propagating_mcs_wind,likely,damaging wind|large hail,MCS|clusters|line segments|embedded supercells,warm front/instability gradient|outflow boundary|MCS cold pool,mcs_timing|prior_convection|instability_recovery|line intensity,The Upper Midwest and Great Lakes risk was tied to MCS evolution and outflow-modulated instability corridors.,"Severe storms affected the Upper Midwest and Great Lakes, with wind damage and isolated large hail as the main hazards. Additional marginal wind corridors extended from the central Plains to the Ohio Valley and Mid-Atlantic, but the enhanced focus was the northern MCS regime."
2021-08-11,ENH,forward_propagating_mcs_wind,core,damaging wind|large hail|isolated tornadoes,MCS|bowing lines|clusters|embedded supercells,cold front|outflow boundaries|MCS cold pool|instability gradient,prior_convection|mcs_timing|outflow placement|instability recovery,Multiple rounds of MCS/convective outflow shaped the Midwest and Great Lakes enhanced wind corridor.,"Severe storms remained likely across Wisconsin, Illinois, and Lower Michigan with damaging wind the main impact. Prior convection and outflow boundaries influenced timing and placement as storms organized into MCS/line segments."
2021-08-26,ENH,forward_propagating_mcs_wind,likely,damaging wind|large hail,MCS|clusters|discrete High Plains storms,southern Minnesota/Iowa MCS corridor|central Plains front|outflow boundary|High Plains lee trough,mcs_timing|outflow placement|multi-region evolution|storm coverage uncertain,"The main wind corridor was tied to MCS/cluster evolution and outflow, though a separate northern High Plains storm area also existed.","Damaging wind was likely across southern Minnesota into Iowa and parts of the central Plains. Additional severe storms were possible over the northern High Plains, making the day partly multi-regional but still wind-dominant."
2021-08-28,ENH,forward_propagating_mcs_wind,core,significant damaging wind|tornadoes|large hail,MCS|embedded supercells|bowing segments|clusters,MCS/outflow boundary|warm front|cold front|low-level jet,mcs_timing|outflow placement|mode transition|multi-region evolution,"An MCS was expected to produce wind damage across Minnesota and Wisconsin, making convective-system propagation central to the enhanced risk.","The main enhanced risk ran from southeast South Dakota into southern Minnesota, where intense storms were capable of significant wind, tornadoes, and hail. MCS evolution was central, with additional tropical-related tornado concerns beginning near the Gulf Coast late in the convective day."
2021-10-26,ENH,mixed_discrete_to_qlcs_outbreak,likely,damaging wind|large hail|isolated tornadoes,supercells|line segments|squall line|overnight clusters,cold front/dryline|warm sector|outflow boundary|surface low,mode_transition|mcs_timing|nocturnal_evolution|boundary_interaction,"Outflow and MCS evolution influenced the overnight progression, though initiation was along the cold front/dryline.","Severe storms developed along the cold front/dryline across Kansas, Oklahoma, and north/central Texas. Large hail and isolated tornadoes were possible with more dominant storms, while damaging winds became the primary threat as convection became more linear overnight."
2021-10-27,ENH,mixed_discrete_to_qlcs_outbreak,likely,tornadoes|damaging wind,discrete supercells|semi-discrete supercells|squall line|embedded QLCS circulations,narrow warm sector|warm front/effective boundary|squall line outflow|surface low,warm sector width|mode transition|boundary interaction|nocturnal evolution,A squall line and narrow warm-sector boundary interactions were central to the Louisiana-to-Gulf-Coast tornado/wind corridor.,A severe threat spread east across Louisiana into southern Mississippi and the northeast Gulf Coast. Discrete and semi-discrete supercells ahead of a squall line carried the strongest tornado potential before the mode became more linear overnight.
2021-12-15,MDT,derecho_or_serial_mcs_wind,core,widespread severe wind|tornadoes,derecho|fast-moving squall line|QLCS|embedded circulations,intense surface cyclone|cold front/dryline|warm front|synoptic pressure-gradient wind field,line intensity|derecho timing|low-CAPE shear overlap|northern extent,"The moderate risk was tied to an ongoing derecho and fast-moving QLCS, making the convective system itself central.",An exceptional cool-season derecho raced across the Upper Mississippi Valley with widespread severe winds and embedded tornadoes. The synoptic wind field and deepening cyclone supported 75-100 mph gust potential within a fast-moving line.
2022-01-01,ENH,mixed_discrete_to_qlcs_outbreak,core,"tornadoes, including a couple strong|damaging wind gusts|isolated large hail",broken line with embedded supercells|conditional warm-sector supercells|bowing QLCS segments,convectively reinforced frontal/outflow boundary|effective surface front|cold front,cap_conditional|ofb_placement|instability_recovery|mode_transition|nocturnal_evolution,"An ongoing/remnant MCS, cold pool, MCV, or outflow/effective boundary was central to risk placement, timing, or mode.","Tennessee Valley severe storms focused along a convectively reinforced boundary, with conditional warm-sector supercells and later bowing segments. Dominant hazards were tornadoes, including a couple strong; damaging wind gusts; isolated large hail."
2022-03-18,ENH,southeast_multicell_or_clusters,likely,damaging winds|a few tornadoes|large hail,clusters|embedded supercells|QLCS circulations,warm front|cold front|convectively influenced boundaries,prior_convection|boundary_interaction|instability_recovery|mode_transition,Outflow or MCS evolution materially influenced the risk corridor while sharing control with the listed larger-scale boundaries.,Prior convection and frontal zones left a mixed-mode Southeast and Ohio Valley environment with warm-front hail and QLCS tornado potential. Dominant hazards were damaging winds; a few tornadoes; large hail.
2022-03-22,MDT,mixed_discrete_to_qlcs_outbreak,core,strong tornadoes|widespread damaging winds|isolated large hail,composite QLCS with bow/LEWP structures|pre-line supercells|embedded supercells,ongoing QLCS|northward-developing warm front|cold front/surface cyclone,prior_convection|boundary_interaction|mode_transition|instability_recovery|mcs_timing,"An ongoing/remnant MCS, cold pool, MCV, or outflow/effective boundary was central to risk placement, timing, or mode.",A Lower Mississippi Valley and Gulf Coast outbreak unfolded from an ongoing QLCS interacting with a warm front and pre-line supercells. Dominant hazards were strong tornadoes; widespread damaging winds; isolated large hail.
2022-03-30,MDT,qlcs_bowing_wind_tornado,likely,strong tornadoes|widespread damaging wind gusts|large hail,mature QLCS|embedded supercells|warm-sector supercells,cold front|prefrontal warm sector|Gulf Coast baroclinic zone,mode_transition|nocturnal_evolution|instability_recovery|boundary_interaction,Outflow or MCS evolution materially influenced the risk corridor while sharing control with the listed larger-scale boundaries.,A regional outbreak combined a mature QLCS wind threat with embedded and warm-sector supercells over the Lower Mississippi Valley and Gulf Coast. Dominant hazards were strong tornadoes; widespread damaging wind gusts; large hail.
2022-04-04,ENH,forward_propagating_mcs_wind,core,"severe wind gusts, some over 75 mph|large to very large hail|a few tornadoes",elevated storms|evolving MCS|bowing/QLCS segments,quasi-stationary front|warm front|developing MCS cold pool,prior_convection|mcs_timing|cold_pool_evolution|mode_transition|nocturnal_evolution,"An ongoing/remnant MCS, cold pool, MCV, or outflow/effective boundary was central to risk placement, timing, or mode.","North Texas storms were expected to grow upscale into a nocturnal MCS sweeping east-southeast through the ArkLaTex. Dominant hazards were severe wind gusts, some over 75 mph; large to very large hail; a few tornadoes."
2022-04-05,ENH,qlcs_bowing_wind_tornado,core,"widespread damaging winds|several tornadoes, some strong|isolated hail",extensive QLCS|embedded tornado circulations|pre-line supercells,northward-moving warm front|approaching cold front|QLCS cold pool,prior_convection|cold_pool_evolution|mode_transition|boundary_interaction|mcs_timing,"An ongoing/remnant MCS, cold pool, MCV, or outflow/effective boundary was central to risk placement, timing, or mode.","A large QLCS moved from the lower Mississippi Valley across Georgia and the Carolinas, with pre-line/warm-front supercell potential. Dominant hazards were widespread damaging winds; several tornadoes, some strong; isolated hail."
2022-04-06,ENH,mcv_mcs_outflow_reintensification,core,damaging wind gusts|large hail|isolated tornadoes,supercells|organized cluster/MCS|embedded QLCS,cold front|diffuse warm front|MCV/cold pool over Georgia,mcv_track|cold_pool_evolution|mode_transition|instability_recovery,"An ongoing/remnant MCS, cold pool, MCV, or outflow/effective boundary was central to risk placement, timing, or mode.","Several severe corridors occurred, but the late ENH focus came from an organizing Georgia cluster with an MCV and surging cold pool. Dominant hazards were damaging wind gusts; large hail; isolated tornadoes."
2022-04-13,MDT,derecho_or_serial_mcs_wind,core,widespread damaging winds|a few tornadoes|large hail,developing QLCS|bowing segments|embedded supercells,cold front|ongoing QLCS/outflow|prefrontal warm sector,prior_convection|mcs_timing|mode_transition|boundary_interaction|instability_recovery,"An ongoing/remnant MCS, cold pool, MCV, or outflow/effective boundary was central to risk placement, timing, or mode.",A fast-moving convective system spread from the Ozarks toward the Ohio and Tennessee Valleys with line-embedded circulations. Dominant hazards were widespread damaging winds; a few tornadoes; large hail.
2022-05-01,ENH,elevated_nocturnal_hail_mcs,likely,large to very large hail|damaging winds|a few tornadoes,elevated storms|supercells|upscale-growing MCS,northward warm front/effective boundary|southern High Plains lee trough|developing cold pool,mcs_timing|boundary_interaction|cap_conditional|mode_transition|nocturnal_evolution,Outflow or MCS evolution materially influenced the risk corridor while sharing control with the listed larger-scale boundaries.,The southern High Plains into Oklahoma and Texas risk was tied to the warm front/effective boundary after dark and potential cold-pool growth. Dominant hazards were large to very large hail; damaging winds; a few tornadoes.
2022-05-02,MDT,classic_discrete_tornadic_supercells,likely,strong tornadoes|very large hail|significant damaging wind,initial supercells|cyclic tornadic supercells|later squall line/QLCS,dryline/triple point|warm front modulated by precipitation|outflow/effective boundary|cold front,ofb_placement|cap_conditional|storm_coverage_uncertain|mode_transition|boundary_interaction,Outflow or MCS evolution materially influenced the risk corridor while sharing control with the listed larger-scale boundaries.,"Southern Kansas and Oklahoma had a high-end supercell environment along the dryline, warm front, and effective/outflow boundaries. Dominant hazards were strong tornadoes; very large hail; significant damaging wind."
2022-05-05,ENH,mcv_mcs_outflow_reintensification,core,damaging winds|isolated tornadoes|large hail,linear clusters|QLCS|embedded supercells,MCS cold pool|developing MCV|cold front|warm front,mcv_track|cold_pool_evolution|mcs_timing|mode_transition|instability_recovery,"An ongoing/remnant MCS, cold pool, MCV, or outflow/effective boundary was central to risk placement, timing, or mode.",The east Texas to lower Mississippi Valley threat evolved from ongoing convection into a cold-pool/MCV-aided convective system. Dominant hazards were damaging winds; isolated tornadoes; large hail.
2022-05-11,ENH,mixed_discrete_to_qlcs_outbreak,likely,damaging winds|hail|a few tornadoes,supercells|clusters|MCS/bowing line,dryline|warm front|outflow boundaries from earlier storms,prior_convection|ofb_placement|mode_transition|mcs_timing|boundary_interaction,Outflow or MCS evolution materially influenced the risk corridor while sharing control with the listed larger-scale boundaries.,"Multiple rounds spread across the upper Mississippi Valley, with supercells giving way to clusters and MCS evolution. Dominant hazards were damaging winds; hail; a few tornadoes."
2022-05-12,MDT,derecho_or_serial_mcs_wind,core,hurricane-force damaging winds|large hail|brief tornadoes,initial supercells|very intense squall line|derecho-like MCS,warm front|cold front/dryline|MCS cold pool,mcs_timing|cold_pool_evolution|mode_transition|boundary_interaction,"An ongoing/remnant MCS, cold pool, MCV, or outflow/effective boundary was central to risk placement, timing, or mode.",The northern Plains event evolved from severe storms into a very intense squall line racing across eastern North Dakota and Minnesota. Dominant hazards were hurricane-force damaging winds; large hail; brief tornadoes.
2022-05-15,ENH,forward_propagating_mcs_wind,core,swaths of wind damage|very large hail|brief tornadoes,line/MCS|clusters|embedded supercells,ongoing MCS/outflow|surface trough|instability gradient,mcs_timing|cold_pool_evolution|mode_transition|boundary_interaction,"An ongoing/remnant MCS, cold pool, MCV, or outflow/effective boundary was central to risk placement, timing, or mode.",Southeast Oklahoma into western Arkansas and Missouri experienced a cluster/MCS-driven severe episode. Dominant hazards were swaths of wind damage; very large hail; brief tornadoes.
2022-05-17,ENH,multi_region_multi_mode,likely,large hail|damaging wind gusts|isolated tornadoes,elevated storms|supercells|clusters/MCS,warm front|cold front|mesoscale convective corridors,prior_convection|mcs_timing|storm_coverage_uncertain|mode_transition|nocturnal_evolution,Outflow or MCS evolution materially influenced the risk corridor while sharing control with the listed larger-scale boundaries.,The central states were expected to see multiple rounds including elevated hail storms and later surface-based clusters. Dominant hazards were large hail; damaging wind gusts; isolated tornadoes.
2022-05-19,ENH,warm_front_baroclinic_tornado,likely,very large hail|damaging winds|tornadoes,elevated hail storms|warm-front supercells|clusters,warm front near IA/MN|effective boundary|outflow boundaries|cold front,ofb_placement|boundary_interaction|training_convection|storm_coverage_uncertain|instability_recovery,Outflow or MCS evolution materially influenced the risk corridor while sharing control with the listed larger-scale boundaries.,"The northern Iowa, southeast Minnesota, and western Wisconsin corridor focused along a warm front/effective boundary. Dominant hazards were very large hail; damaging winds; tornadoes."
2022-05-24,ENH,forward_propagating_mcs_wind,likely,severe wind gusts|large hail|isolated tornadoes,supercells|linear clusters|MCS,dryline/cold front|Rio Grande storms|outflow from growing clusters,mode_transition|mcs_timing|boundary_interaction|nocturnal_evolution|storm_coverage_uncertain,Outflow or MCS evolution materially influenced the risk corridor while sharing control with the listed larger-scale boundaries.,West-central Texas storms evolved eastward toward the Gulf Coast and ArkLaTex during the evening and overnight. Dominant hazards were severe wind gusts; large hail; isolated tornadoes.
2022-05-29,ENH,forward_propagating_mcs_wind,core,60 to 85 mph gusts|large hail near baseball size|a few tornadoes,supercells|clusters|MCS/bowing line,central Plains front/dryline|warm front|outflow from earlier convection,prior_convection|mcs_timing|mode_transition|boundary_interaction,"An ongoing/remnant MCS, cold pool, MCV, or outflow/effective boundary was central to risk placement, timing, or mode.",A central Plains to Upper Midwest severe episode evolved through a complex mix of supercells and MCS development. Dominant hazards were 60 to 85 mph gusts; large hail near baseball size; a few tornadoes.
